X,Y,Z,Vp,Vs,Vp/Vs
737420.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,3220.0000,6.2250,3.4510,1.8038
737620.0000,9548600.0000,3180.0000,6.2250,3.4510,1.8038
737620.0000,9548600.0000,3140.0000,6.2250,3.4510,1.8038
737620.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737620.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,3220.0000,6.2250,3.4510,1.8038
737660.0000,9548600.0000,3180.0000,6.2250,3.4510,1.8038
737660.0000,9548600.0000,3140.0000,6.2250,3.4510,1.8038
737660.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737660.0000,9548600.0000,2620.0000,6.2070,3.4300,1.8096
737660.0000,9548600.0000,2580.0000,6.6940,3.6810,1.8185
737660.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,3220.0000,6.2250,3.4510,1.8038
737700.0000,9548600.0000,3180.0000,6.2250,3.4510,1.8038
737700.0000,9548600.0000,3140.0000,6.2250,3.4510,1.8038
737700.0000,9548600.0000,3100.0000,6.2250,3.4510,1.8038
737700.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737700.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,3300.0000,6.2250,3.4510,1.8038
737740.0000,9548600.0000,3260.0000,6.2250,3.4510,1.8038
737740.0000,9548600.0000,3220.0000,6.2250,3.4510,1.8038
737740.0000,9548600.0000,3180.0000,6.2250,3.4510,1.8038
737740.0000,9548600.0000,3140.0000,6.2250,3.4510,1.8038
737740.0000,9548600.0000,3100.0000,6.2250,3.4510,1.8038
737740.0000,9548600.0000,3060.0000,6.2250,3.4510,1.8038
737740.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737740.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,3300.0000,6.2250,3.4510,1.8038
737780.0000,9548600.0000,3260.0000,6.2250,3.4510,1.8038
737780.0000,9548600.0000,3220.0000,6.2250,3.4510,1.8038
737780.0000,9548600.0000,3180.0000,6.2250,3.4510,1.8038
737780.0000,9548600.0000,3140.0000,6.2250,3.4510,1.8038
737780.0000,9548600.0000,3100.0000,6.2250,3.4510,1.8038
737780.0000,9548600.0000,3060.0000,6.2250,3.4510,1.8038
737780.0000,9548600.0000,3020.0000,6.2250,3.4510,1.8038
737780.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737780.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,3300.0000,6.2250,3.4510,1.8038
737820.0000,9548600.0000,3260.0000,6.2250,3.4510,1.8038
737820.0000,9548600.0000,3220.0000,6.2250,3.4510,1.8038
737820.0000,9548600.0000,3180.0000,6.2250,3.4510,1.8038
737820.0000,9548600.0000,3140.0000,6.2250,3.4510,1.8038
737820.0000,9548600.0000,3100.0000,6.2250,3.4510,1.8038
737820.0000,9548600.0000,3060.0000,6.2250,3.4510,1.8038
737820.0000,9548600.0000,3020.0000,6.2250,3.4510,1.8038
737820.0000,9548600.0000,2980.0000,6.2250,3.4510,1.8038
737820.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737820.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737860.0000,9548600.0000,3300.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,3260.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,3220.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,3180.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,3140.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,3100.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,3060.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,3020.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,2980.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,2940.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,2900.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,2860.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,2820.0000,6.2250,3.4510,1.8038
737860.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737860.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737860.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737860.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737860.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737860.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737860.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737900.0000,9548600.0000,3300.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,3260.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,3220.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,3180.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,3140.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,3100.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,3060.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,3020.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,2980.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,2940.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,2900.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,2860.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,2820.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,2780.0000,6.2250,3.4510,1.8038
737900.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737900.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737900.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737900.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737900.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737900.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,3300.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,3260.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,3220.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,3180.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,3140.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,3100.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,3060.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,3020.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2980.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2940.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2900.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2860.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2820.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2780.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2740.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2700.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2660.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2620.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2580.0000,4.9100,2.8400,1.7289
737180.0000,9548640.0000,2540.0000,4.9100,2.5630,1.9157
737220.0000,9548640.0000,3300.0000,4.9100,2.8400,1.7289
737220.0000,9548640.0000,3260.0000,4.9100,2.8400,1.7289
737220.0000,9548640.0000,3220.0000,4.9100,2.8400,1.7289
737220.0000,9548640.0000,3180.0000,4.9100,2.8400,1.7289
737220.0000,9548640.0000,3140.0000,4.9100,2.8400,1.7289
737220.0000,9548640.0000,3100.0000,4.9100,2.8400,1.7289
737220.0000,9548640.0000,3060.0000,4.9100,2.8400,1.7289
737220.0000,9548640.0000,3020.0000,4.9100,2.8400,1.7289
737220.0000,9548640.0000,2980.0000,4.9100,2.8400,1.7289
737220.0000,9548640.0000,2940.0000,4.9100,2.8400,1.7289
